price,mileage,engine,age
256000,5,1998.0,1
184999,79400,1998.0,4
74000,240000,1995.0,9
168600,2,1499.0,1
209999,28000,2998.0,3
87900,183713,1995.0,8
73900,193000,2993.0,10
17900,199325,1995.0,17
102900,128000,1998.0,7
140695,2,1499.0,1
509900,10840,4395.0,2
30900,130232,1995.0,14
66900,280000,1995.0,10
64900,160000,1995.0,7
239900,6553,1998.0,2
167300,2,1499.0,1
23700,267400,1995.0,14
329300,1,1995.0,1
388999,55000,4395.0,5
179900,99900,2993.0,8
159900,25500,1998.0,4
55350,198000,1995.0,6
609900,5,2355.103550295858,1
230000,36150,1998.0,4
132000,169000,1995.0,7
95000,132700,1995.0,9
139900,67850,1998.0,5
69900,209000,1997.0,10
108900,78000,1998.0,5
104999,140000,1995.0,8
299997,61000,2979.0,4
185900,99000,2993.0,6
25000,226672,2926.0,24
28900,317810,2993.0,16
335000,61000,2979.0,3
150885,2,1499.0,1
676500,5438,4395.0,2
28500,202000,1598.0,12
727099,1,4395.0,1
147940,2,1499.0,1
543600,8000,2993.0,2
297000,1,1998.0,1
270000,1,1995.0,1
169900,159000,2993.0,8
169500,125000,1998.0,5
145660,2,1499.0,1
293100,1,1995.0,1
283100,1,1998.0,1
159250,1,1499.0,0
239300,1,1995.0,1
243600,1,1995.0,1
161240,2,1499.0,1
183100,1,1495.0,1
477700,1,2993.0,0
239850,41500,1998.0,3
149990,90600,1995.0,6
430500,1,2993.0,1
43500,134970,1795.0,36
107800,135000,1995.0,4
243300,1,1995.0,0
249000,1,1995.0,1
159900,162211,1995.0,7
176200,5000,1499.0,1
177000,1,1499.0,1
75000,259250,2993.0,14
86900,72185,1997.0,7
196700,1,1499.0,1
69000,396197,2993.0,11
176900,72000,1998.0,4
129900,189000,1995.0,6
119000,235000,2993.0,9
173685,2,1499.0,1
119000,235000,2993.0,9
449000,25000,2993.0,2
179990,75477,3999.0,16
122900,136301,1995.0,5
759000,1,4395.0,1
47800,277840,2993.0,14
18800,173000,1599.0,15
123000,191000,1995.0,7
30400,264000,2993.0,15
122900,134157,1995.0,5
22900,158537,1599.0,15
169700,115000,2993.0,5
71000,118000,1598.0,9
28500,205000,1995.0,13
28900,300187,2993.0,19
124999,142000,1995.0,6
86900,130000,1995.0,7
253900,5,1998.0,1
169740,86000,2998.0,5
75000,173200,2494.0,35
41500,161000,2979.0,16
169900,68800,1998.0,4
27400,262370,2793.0,22
19800,218000,1995.0,15
164900,56000,1995.0,3
285000,7482,1995.0,1
149900,87387,1995.0,4
97000,271480,2993.0,11
99900,91300,1499.0,5
19000,215559,1599.0,14
522700,15,2993.0,1
269900,53922,2979.0,3
26900,171056,1596.0,18
312700,84000,2993.0,4
72900,105000,1499.0,6
145900,89994,1995.0,5
72900,105000,1499.0,6
28600,303200,1995.0,13
363500,5,1995.0,1
146900,85875,1995.0,4
198500,4000,1499.0,1
131979,120000,1998.0,7
86100,170000,4395.0,10
77500,220000,2993.0,10
226900,18232,1998.0,2
157900,103788,1995.0,4
209900,26800,1995.0,2
147000,139000,1995.0,6
131900,36000,1998.0,3
120000,68000,1998.0,6
25900,258000,1995.0,14
163900,42779,1998.0,4
41900,180000,1995.0,11
129900,90756,1499.0,5
265700,5000,1998.0,1
44500,215000,1995.0,11
108000,123000,1998.0,7
149999,206520,2993.0,6
94900,120645,1995.0,8
36500,255100,1995.0,12
12900,251800,1995.0,18
195000,49907,1995.0,4
457000,15,2993.0,1
83900,284000,2993.0,12
114000,173247,2993.0,10
543700,1,2993.0,1
145000,69000,1995.0,5
23900,257000,1995.0,13
135000,49000,1998.0,5
179900,123000,2993.0,8
335800,5000,1995.0,1
144999,218784,1995.0,8
67000,170600,1997.0,9
128000,129000,1995.0,6
105900,162000,1995.0,6
167320,2,1499.0,1
85500,181600,1995.0,9
334700,1,1995.0,1
27700,170000,1995.0,11
249900,1,1995.0,1
416775,5000,2993.0,2
177745,2,1499.0,1
303700,6,1995.0,1
89900,69200,1997.0,8
24900,245000,2993.0,19
299999,69000,2979.0,7
148500,1,1499.0,1
168435,2,1998.0,1
134900,76000,1998.0,4
13500,250000,1995.0,18
144900,70461,1995.0,5
219900,37137,1998.0,3
90036,119000,1995.0,5
76000,174000,2979.0,13
349900,59800,4395.0,5
179999,207000,4999.0,17
202600,5,1995.0,1
107990,46000,1998.0,4
359600,10,1995.0,1
19800,249500,2993.0,19
19900,172000,1597.0,14
21500,190000,1599.0,14
335000,10,2355.103550295858,1
675000,14500,4395.0,3
64900,171239,2993.0,11
63900,276300,2993.0,15
89000,110000,2993.0,7
172925,2,1499.0,1
370700,5,2993.0,1
380200,5,2993.0,1
396600,5,2993.0,1
181665,2,1499.0,1
121900,16500,1499.0,2
149000,105000,2993.0,10
429000,49000,4395.0,4
144300,96000,1998.0,5
286400,517,1995.0,1
188000,2,1998.0,1
262800,10,1998.0,1
645000,26900,4395.0,3
57400,123676,1499.0,6
13500,227000,1995.0,20
123900,119764,1995.0,6
184300,2,1998.0,1
425134,24000,4395.0,2
35800,147000,1995.0,13
37900,271120,2993.0,16
28888,267000,1995.0,15
417000,78193,2993.0,3
